,name,host_since,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,instant_bookable,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
192,1CH Lit KING + Foyer + Wi-Fi + Cuisine,2021-04-26,within an hour,100%,t,t,Vieux-Limoilou,Entire rental unit,Entire home/apt,1 bath,"[""High chair"", ""AC - split type ductless system"", ""Central heating"", ""Private backyard \u2013 Not fully fenced"", ""Stainless steel single oven"", ""Free dryer \u2013 In building"", ""Paid street parking off premises"", ""Smart lock"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Stainless steel electric stove"", ""Fire extinguisher"", ""Hot water kettle"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Pocket wifi"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Toaster"", ""Bed linens"", ""Private BBQ grill"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Long term stays allowed"", ""Hot water"", ""Indoor fireplace: electric"", ""Private patio or balcony"", ""Hangers"", ""Pets allowed"", ""Refrigerator"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""TV"", ""Baby bath - always at the listing"", ""Microwave"", ""Dishwasher"", ""Drying rack for clothing"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2023-06-11,2024-10-28,t,46.8246471,-71.2283353,4.0,1.0,1.0,2.0,85.0,31.0,31,17,47,77,351,97.0,79.0,1.4,4.74,4.81,4.56,4.77,4.54,4.87,4.68,9.0,9.0,0.0,0.0,5.62
193,PENTHOUSE AU COEUR DE LA VILLE,2015-03-17,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire serviced apartment,Entire home/apt,2 baths,"[""Extra pillows and blankets"", ""Freezer"", ""Clothing storage: closet"", ""Smart lock"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Oven"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Coffee maker: Keurig coffee machine"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Hot water"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Room-darkening shades"", ""Hair dryer"", ""Stove"", ""TV"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2021-07-04,2024-10-22,t,46.80432,-71.21872,6.0,1.0,2.0,3.0,167.0,1.0,365,6,18,44,287,182.0,47.0,4.0,4.8,4.84,4.73,4.94,4.9,4.91,4.77,6.0,6.0,0.0,0.0,4.46
194,SR102 - Les Lofts St-Roch - Par Les Lofts Vieux-QC,2014-11-13,Desconocido,-%,f,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Fire extinguisher"", ""Single level home"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2021-04-22,2023-05-17,f,46.81636,-71.21977,5.0,1.0,2.0,3.0,220.0,31.0,1125,16,34,64,310,9.0,0.0,0.0,4.8,4.78,4.56,4.67,4.67,4.89,4.44,6.1,4.3,0.0,0.0,0.21
195,Chambre Clean&Cozy Centre-ville de Québec,2013-06-23,within an hour,100%,f,t,Saint-Sauveur,Private room in rental unit,Private room,1 private bath,"[""Ethernet connection"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Free street parking"", ""Fire extinguisher"", ""Private entrance"", ""Single level home"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Clothing storage"", ""Bathtub"", ""Body soap"", ""Heating"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Mini refrigerator"", ""Luggage dropoff allowed"", ""Hangers"", ""Iron"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Dedicated workspace"", ""Mini fridge"", ""Free dryer"", ""Keypad"", ""Hair dryer"", ""TV"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Dining table"", ""Cooking basics"", ""Paid parking off premises"", ""Wifi"", ""Shampoo""]",t,2018-12-06,2020-04-04,f,46.80634,-71.23322,2.0,1.0,1.0,1.0,35.0,31.0,32,26,56,86,176,85.0,0.0,0.0,4.87,4.94,4.95,4.94,4.91,4.68,4.84,1.0,0.0,0.0,0.0,1.18
196,Maison Historique,2016-05-16,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire home,Entire home/apt,1 bath,"[""Central heating"", ""Conditioner"", ""Extra pillows and blankets"", ""Freezer"", ""Smart lock"", ""Patio or balcony"", ""HDTV with Netflix, standard cable, DVD player"", ""Fire extinguisher"", ""Hot water kettle"", ""Dryer"", ""Essentials"", ""Single oven"", ""Smoke alarm"", ""Self check-in"", ""Coffee maker: Keurig coffee machine"", ""Body soap"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Outdoor dining area"", ""Hot water"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Washer"", ""Central air conditioning"", ""Microwave"", ""Shower gel"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2023-06-28,2024-10-26,f,46.80335,-71.20896,4.0,1.0,1.0,2.0,120.4,3.0,28,0,0,0,203,22.0,8.0,1.0,5.0,5.0,5.0,5.0,5.0,4.95,4.95,1.0,1.0,0.0,0.0,1.32
197,Charmant loft avec vue sur les montagnes,2022-05-23,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire loft,Entire home/apt,1 bath,"[""Marina view"", ""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""Park view"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Hot water kettle"", ""Single level home"", ""Host greets you"", ""Essentials"", ""Portable fans"", ""Smoke alarm"", ""Portable heater"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""City skyline view"", ""Dove body soap"", ""Bed linens"", ""First aid kit"", ""Dishes and silverware"", ""Long term stays allowed"", ""Hot water"", ""Whirpool oven"", ""Whirlpool electric stove"", ""Mosquito net"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee maker: pour-over coffee"", ""Hair dryer"", ""Formet standard -Frigidaire  refrigerator"", ""Microwave"", ""Portable air conditioning"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Mountain view"", ""Kitchen"", ""Wifi""]",t,2022-11-03,2024-09-01,f,46.81616,-71.2078,2.0,1.0,0.0,1.0,40.0,31.0,120,0,5,35,35,12.0,6.0,0.0,4.92,4.92,4.92,4.92,5.0,5.0,5.0,2.0,2.0,0.0,0.0,0.49
198,Superbe appart tout près du Vieux Québec.,2022-07-01,within an hour,100%,t,t,Saint-Jean-Baptiste,Entire rental unit,Entire home/apt,1 bath,"[""HDTV"", ""Radiant heating"", ""Free street parking"", ""Single level home"", ""Hot water kettle"", ""Paid dryer \u2013 In building"", ""Coffee maker: drip coffee maker"", ""Portable fans"", ""Smoke alarm"", ""Stainless steel oven"", ""Self check-in"", ""Clothing storage"", ""Paid washer \u2013 In building"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Keypad"", ""Hair dryer"", ""Central air conditioning"", ""Microwave"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Electric stove""]",t,2022-07-12,2024-09-27,t,46.81157,-71.22061,4.0,1.0,1.0,2.0,60.0,31.0,365,29,59,89,364,103.0,3.0,0.0,4.74,4.84,4.77,4.87,4.93,4.83,4.69,1.0,1.0,0.0,0.0,3.63
199,Chambre à louer long terme | (3),2013-05-03,within a few hours,80%,f,t,Duberger-Les Saules,Private room in home,Private room,1 shared bath,"[""Extra pillows and blankets"", ""Shared backyard"", ""Free street parking"", ""Fire extinguisher"", ""Private entrance"", ""Oven"", ""Dryer"", ""Cleaning available during stay"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Dedicated workspace"", ""Keypad"", ""Stove"", ""Washer"", ""Lock on bedroom door"", ""Microwave"", ""Coffee maker"", ""Dining table"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2017-09-17,2024-08-31,f,46.80693,-71.2,1.0,1.0,1.0,1.0,21.0,31.0,1125,0,11,41,131,7.0,3.0,0.0,4.8,4.9,4.57,4.9,4.57,4.8,4.29,7.0,0.0,0.0,0.0,0.08
200,Vieux Québec/Nouvo St-Roch/mini Suite,2021-11-29,within an hour,100%,t,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Exterior security cameras on property"", ""Corps et cheveux  shampoo"", ""Freezer"", ""Clothing storage: closet"", ""Private entrance"", ""Hot water kettle"", ""Single level home"", ""HDTV with standard cable"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Smoke alarm"", ""Stainless steel oven"", ""Self check-in"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""City skyline view"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Paid parking lot off premises"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Air conditioning"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Outdoor shower"", ""Microwave"", ""Dishwasher"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Electric stove""]",t,2021-12-29,2024-10-27,f,46.81196359745006,-71.22428476810455,2.0,1.0,1.0,1.0,108.0,3.0,45,29,56,86,158,169.0,56.0,4.0,4.88,4.93,4.86,4.93,4.92,4.75,4.82,4.0,4.0,0.0,0.0,4.84
201,3 1/2 Condo avec parking gratuit - Saint-Roch,2020-01-24,within an hour,100%,t,t,Saint-Roch,Entire condo,Entire home/apt,1 bath,"[""Central heating"", ""Ethernet connection"", ""Shared gym in building"", ""Conditioner"", ""Extra pillows and blankets"", ""Elevator"", ""Free dryer \u2013 In unit"", ""Board games"", ""Clothing storage: closet"", ""Freezer"", ""Fire extinguisher"", ""Hot water kettle"", ""Blender"", ""Essentials"", ""48 inch TV with Netflix, Chromecast"", ""Smoke alarm"", ""Stainless steel oven"", ""Barbecue utensils"", ""Self check-in"", ""Coffee maker: Keurig coffee machine"", ""Fire pit"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Hangers"", ""BBQ grill"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Exercise equipment"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Outdoor furniture"", ""Shared pool - available seasonally"", ""Hair dryer"", ""Stove"", ""Lockbox"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""EV charger"", ""Shower gel"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2022-07-01,2024-10-23,f,46.814911,-71.2196936,4.0,1.0,1.0,2.0,124.0,2.0,14,11,28,57,312,175.0,57.0,3.0,4.87,4.9,4.92,4.86,4.94,4.5,4.79,1.0,1.0,0.0,0.0,6.08
202,Private room well located next to Laval University,2013-11-14,within a few hours,100%,f,t,Cité Universitaire,Private room in rental unit,Private room,1 shared bath,"[""Free street parking"", ""Fire extinguisher"", ""Private entrance"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Dedicated workspace"", ""Stove"", ""Washer"", ""Lock on bedroom door"", ""Microwave"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2019-08-15,2024-03-01,f,46.8,-71.2,1.0,1.0,1.0,1.0,28.0,31.0,1125,0,16,46,321,14.0,1.0,0.0,4.57,4.71,4.8,4.93,4.93,4.93,4.71,6.0,1.0,0.0,0.0,0.22
203,SP101-Les Lofts St-Pierre - Par Les Lofts Vieux-QC,2014-11-13,Desconocido,-%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2020-06-19,2024-02-28,f,46.81467,-71.20413,4.0,1.0,1.0,1.0,209.0,31.0,1125,8,26,51,298,21.0,1.0,0.0,4.81,4.95,4.81,4.81,4.95,5.0,4.67,6.1,4.3,0.0,0.0,0.39
204,Gothic Styled Historical Condo in Old Quebec,2022-09-02,within an hour,100%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire condo,Entire home/apt,1 bath,"[""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""Extra pillows and blankets"", ""Smart lock"", ""Hot water kettle"", ""Oven"", ""Essentials"", ""Cleaning available during stay"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Outdoor dining area"", ""Hot water"", ""Hangers"", ""Pets allowed"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Room-darkening shades"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""TV"", ""Indoor fireplace"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi""]",t,2023-10-02,2024-10-27,f,46.8109671,-71.20706679999999,2.0,1.0,1.0,1.0,106.0,31.0,365,2,8,25,271,58.0,54.0,5.0,4.74,4.81,4.78,4.78,4.84,4.95,4.74,9.0,9.0,0.0,0.0,4.3
205,"Artillery view Condo "" free parking""",2013-10-27,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire condo,Entire home/apt,1 bath,"[""Conditioner"", ""Extra pillows and blankets"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Blender"", ""Oven"", ""Essentials"", ""Smoke alarm"", ""52 inch TV with DVD player"", ""Self check-in"", ""Bathtub"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Sound system"", ""Iron"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2020-12-25,2024-07-05,t,46.81408,-71.21275,4.0,1.0,2.0,2.0,117.0,1.0,1125,11,12,12,110,71.0,37.0,0.0,4.89,4.89,4.79,4.85,4.96,5.0,4.83,10.0,10.0,0.0,0.0,1.5
206,ADVC-2,2016-10-11,within an hour,90%,t,t,Maizerets,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Fire extinguisher"", ""Oven"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Mosquito net"", ""Hangers"", ""Pets allowed"", ""Refrigerator"", ""Room-darkening shades"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Central air conditioning"", ""Microwave"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2022-06-01,2024-10-21,t,46.8,-71.22277,2.0,1.0,1.0,2.0,99.0,5.0,60,27,38,68,343,31.0,10.0,1.0,4.68,4.84,4.71,4.9,4.58,4.58,4.61,2.0,2.0,0.0,0.0,1.04
207,Comfort at the Old Port  just back for short term,2016-01-11,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""High chair"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Harbor view"", ""Patio or balcony"", ""Private entrance"", ""Hot water kettle"", ""Single level home"", ""Blender"", ""Oven"", ""Dryer"", ""Essentials"", ""Portable fans"", ""Pocket wifi"", ""Smoke alarm"", ""Self check-in"", ""Clothing storage"", ""Bathtub"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Crib"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hangers"", ""Pets allowed"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Room-darkening shades"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Children\u2019s dinnerware"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cleaning products"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2016-07-05,2024-10-22,f,46.8162,-71.21115,5.0,1.0,2.0,3.0,174.0,3.0,1125,13,23,53,299,42.8,34.0,3.0,4.91,4.95,4.96,4.95,4.91,4.93,4.9,2.0,2.0,0.0,0.0,2.76
208,Charmant loft dans le Vieux Québec,2022-09-19,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire loft,Entire home/apt,1 bath,"[""HDTV"", ""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""Free street parking"", ""Smart lock"", ""Stainless steel electric stove"", ""Essentials"", ""Smoke alarm"", ""Stainless steel oven"", ""Self check-in"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2023-08-09,2024-10-13,t,46.81618,-71.20825,2.0,1.0,0.0,1.0,50.0,31.0,365,0,2,32,146,111.0,67.0,1.0,4.89,4.86,4.91,4.93,4.91,4.98,4.86,1.0,1.0,0.0,0.0,7.25
209,The Caiman 907- Perfect for 6-8 people,2022-06-13,within an hour,100%,t,t,Saint-Roch,Entire condo,Entire home/apt,2 baths,"[""Free parking garage on premises \u2013 1 space"", ""Exterior security cameras on property"", ""Conditioner"", ""Extra pillows and blankets"", ""Elevator"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Clothing storage: closet"", ""Paid parking garage on premises"", ""Smart lock"", ""Fire extinguisher"", ""Hot water kettle"", ""Single level home"", ""Essentials"", ""Cleaning available during stay"", ""55 inch HDTV"", ""Portable fans"", ""Exercise equipment: elliptical, free weights, treadmill"", ""Coffee maker: drip coffee maker, french press, Nespresso"", ""Smoke alarm"", ""Stainless steel oven"", ""Barbecue utensils"", ""Self check-in"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Shared BBQ grill: gas"", ""Coffee"", ""City skyline view"", ""Bed linens"", ""Pack \u2019n play/Travel crib - always at the listing"", ""First aid kit"", ""Dishes and silverware"", ""Outdoor dining area"", ""Hot water"", ""Long term stays allowed"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Shared outdoor pool - available seasonally, open specific hours, rooftop"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Pets allowed"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Paid parking garage off premises"", ""Folding or convertible high chair - always at the listing"", ""Central air conditioning"", ""Microwave"", ""Dishwasher"", ""Stainless steel stove"", ""Shower gel"", ""Drying rack for clothing"", ""Noise decibel monitors on property"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""Kitchen"", ""Sun loungers"", ""Wifi"", ""Shampoo""]",t,2022-07-23,2024-11-02,t,46.81502,-71.21781,8.0,1.0,3.0,1.8,210.0,1.0,1125,18,39,69,73,109.0,52.0,5.0,4.85,4.9,4.88,4.84,4.94,4.57,4.64,2.0,2.0,0.0,0.0,3.89
210,Ancestral | Centre-ville | Balcon | Parking | A/C,2018-06-05,within an hour,100%,t,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Clothing storage: closet"", ""Stainless steel electric stove"", ""Fire extinguisher"", ""Private entrance"", ""Oven"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Portable fans"", ""Smoke alarm"", ""39 inch TV with Netflix"", ""Self check-in"", ""Bathtub"", ""Heating"", ""Toaster"", ""Free parking garage on premises \u2013 1 space"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Outdoor dining area"", ""Window AC unit"", ""Hot water"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Microwave"", ""Shower gel"", ""Dining table"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2019-08-22,2024-10-22,f,46.81494,-71.22245,4.0,1.0,1.0,2.0,82.0,1.0,1125,11,34,60,259,42.8,17.3,5.0,4.71,4.82,4.75,4.9,4.92,4.58,4.64,10.0,10.0,0.0,0.0,6.39
211,Chambre privée (La boiserie) 296123,2016-07-18,within an hour,100%,t,t,Sillery,Private room in townhouse,Private room,1 private bath,"[""Ethernet connection"", ""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""HDTV with standard cable"", ""Essentials"", ""Cleaning available during stay"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""Private patio or balcony"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Keypad"", ""Hair dryer"", ""Lock on bedroom door"", ""Private living room"", ""Microwave"", ""Portable air conditioning"", ""Coffee maker"", ""Wifi"", ""Shampoo""]",t,2018-07-08,2024-10-24,f,46.8,-71.26191,4.0,1.0,1.0,2.0,140.0,2.0,29,15,15,41,221,120.0,19.0,1.0,4.9,4.88,4.93,4.91,4.92,4.81,4.82,2.0,0.0,0.0,0.0,1.55
212,Discount start at 2 nights : condo near Old Quebec,2012-08-21,within an hour,100%,t,t,Saint-Roch,Entire condo,Entire home/apt,1 bath,"[""Standalone high chair - always at the listing"", ""Kirkland body soap"", ""Shared gym in building"", ""Fast wifi \u2013 148 Mbps"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Crib - always at the listing"", ""Heating - split type ductless system"", ""Conditioner"", ""Frigidaire stainless steel oven"", ""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In unit"", ""Window guards"", ""Board games"", ""Freezer"", ""Rice maker"", ""Elevator"", ""Smart lock"", ""Fire extinguisher"", ""Frigidaire refrigerator"", ""Hot water kettle"", ""Single level home"", ""Blender"", ""Essentials"", ""Smoke alarm"", ""Outlet covers"", ""Self check-in"", ""Bathtub"", ""65 inch HDTV with Roku, Chromecast"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat"", ""Fire pit"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""Pack \u2019n play/Travel crib - always at the listing"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Outdoor dining area"", ""Shared indoor pool - available seasonally, open specific hours, heated, rooftop, saltwater"", ""Baby bath"", ""Private patio or balcony"", ""Hangers"", ""Frigidaire stainless steel electric stove"", ""Baking sheet"", ""Iron"", ""BBQ grill"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Coffee maker: pour-over coffee"", ""Hair dryer"", ""Microwave"", ""Dishwasher"", ""Sun loungers"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Shampoo""]",t,2022-11-26,2024-11-08,t,46.814911,-71.2196936,4.0,1.0,1.0,2.0,86.0,1.0,30,9,24,54,329,182.0,17.3,1.4,4.91,4.93,4.9,4.91,4.98,4.65,4.8,1.0,1.0,0.0,0.0,7.64
